Junior,Middle,Senior,Team Lead,Офис,Удалённо,Гибрид
50000,70000,180000,60000,2,2,
40000,80000,130000,100000,,4,
90000,70000,70000,100000,1,3,
10000,60000,280000,270000,1,3,
40000,70000,65000,150000,1,3,
50000,180000,150000,160000,2,2,
80000,110000,75000,150000,1,3,
35000,120000,100000,190000,2,2,
30000,110000,67000,80000,1,3,
20000,50000,80000,150000,1,3,
40000,70000,60000,90000,1,3,
70000,90000,100000,220000,1,2,1
30000,180000,70000,270000,1,3,
15000,100000,80000,130000,1,3,
60000,80000,90000,100000,,4,
40000,150000,130000,150000,,4,
90000,60000,50000,330000,2,2,
50000,50000,180000,110000,2,2,
40000,70000,120000,90000,1,3,
70000,60000,70000,90000,1,3,
50000,50000,100000,130000,1,3,
45000,90000,90000,90000,1,3,
90000,50000,120000,90000,1,3,
50000,60000,60000,40000,1,3,
50000,70000,270000,130000,1,3,
40000,65000,100000,80000,2,2,
35000,70000,90000,270000,2,2,
50000,70000,70000,220000,2,2,
80000,50000,150000,120000,2,2,
50000,160000,60000,190000,1,3,
60000,78000,60000,150000,1,3,
30000,60000,25000,270000,1,3,
20000,50000,90000,150000,,4,
30000,90000,140000,190000,,3,1
40000,50000,50000,360000,2,2,
70000,100000,200000,180000,2,2,
40000,3000,80000,100000,2,2,
90000,90000,50000,100000,,4,
30000,40000,80000,100000,,4,
40000,50000,110000,70000,2,2,
90000,20000,90000,75000,2,2,
30000,35000,90000,75000,1,3,
20000,170000,45000,70000,2,2,
,60000,60000,100000,,3,
,80000,130000,130000,,3,
,60000,80000,310000,,3,
,100000,60000,120000,,3,
,100000,100000,90000,,3,
,130000,90000,100000,1,2,
,180000,130000,70000,,3,
,95000,100000,140000,,3,
,60000,130000,130000,1,2,
,65000,80000,100000,,3,
,100000,190000,300000,1,2,
,50000,75000,100000,1,2,
,40000,50000,100000,,3,
,40000,180000,120000,2,1,
,60000,80000,120000,1,2,
,50000,90000,150000,,3,
,50000,50000,60000,,3,
,110000,90000,100000,,3,
,60000,100000,80000,1,2,
,70000,70000,40000,,3,
,50000,240000,65000,1,2,
,40000,100000,150000,,3,
,100000,130000,150000,,3,
,50000,170000,120000,,3,
,80000,40000,100000,1,2,
,35000,155000,200000,1,2,
,85000,30000,150000,1,2,
,100000,50000,110000,,3,
,40000,140000,120000,2,1,
,60000,130000,80000,1,2,
,50000,50000,130000,,3,
,45000,90000,110000,1,2,
,35000,110000,100000,2,1,
,50000,250000,100000,,3,
,45000,70000,70000,1,2,
,90000,80000,100000,1,2,
,30000,30000,90000,1,2,
,70000,90000,40000,,3,
,100000,70000,90000,3,,
,70000,60000,50000,,3,
,60000,80000,130000,1,2,
,50000,70000,60000,1,2,
,50000,65000,90000,1,2,
,45000,60000,70000,1,2,
,25000,120000,180000,1,2,
,55000,70000,60000,1,2,
,70000,70000,220000,2,1,
,120000,60000,,1,1,
,130000,50000,,1,1,
,30000,30000,,1,1,
,40000,40000,,1,1,
,50000,270000,,,2,
,18000,50000,,,2,
,60000,90000,,1,1,
,60000,70000,,1,1,
,80000,40000,,1,1,
,60000,180000,,1,1,
