Зарплата,ДМС,Обучение,Фитнес,Ссылка,Работодатель
60000,,1,,https://hh.ru/vacancy/90217762,ЧП DS TEAM
60000,,,,https://hh.ru/vacancy/89806799,ИП Санатов Даулет
70000,,,,https://hh.ru/vacancy/89457390,CREOS Play
130000,,,,https://hh.ru/vacancy/88218982,W-profit Ltd.
80000,,1,,https://hh.ru/vacancy/89770060,HYPERBOX
120000,,,,https://hh.ru/vacancy/89123496,Яндекс
50000,,,,https://hh.ru/vacancy/89092598,ООО Фортит
40000,,,,https://hh.ru/vacancy/88146473,ООО ART animation
85000,,,,https://hh.ru/vacancy/89303459,ИП Смирнов Павел Александрович
80000,,,,https://hh.ru/vacancy/90059885,ООО Студия Анимационного Кино Тема
120000,,,,https://hh.ru/vacancy/90209836,Sacraments of Eternity
50000,,,,https://hh.ru/vacancy/90021975,SLICK видеопродакшн
80000,,,,https://hh.ru/vacancy/89402738,ИП Кожевникова Ольга Георгиевна
80000,,,,https://hh.ru/vacancy/90011897,ИП N.1 STUDIO
40000,,,,https://hh.ru/vacancy/88146473,ООО ART animation
230000,,,,https://t.me/animator_jobs/1298,Twinslash
180000,1,1,,https://t.me/animator_jobs/1252,AAA Game Art Studio
180000,,,,https://telegra.ph/2D-hudozhnik-animator-09-15,
40000,,,,https://hh.ru/vacancy/80740701,Elephant Games
150000,1,1,,https://geekjob.ru/vacancy/638efc85fe2b9f3fa3062495,"Advant Studio"""
