Junior,Middle,Senior,Team Lead,Офис,Удалённо,Гибрид
50000,80000,90000,200000,1,4,
70000,100000,150000,80000,3,3,
70000,80000,60000,130000,1,1,
80000,100000,75000,100000,1,3,
70000,80000,160000,100000,3,3,
120000,150000,100000,130000,1,4,
60000,40000,120000,150000,2,4,
50000,80000,180000,100000,1,1,
80000,120000,300000,150000,1,3,
65000,70000,80000,,1,1,
50000,90000,40000,,1,2,
30000,85000,75000,,,2,
150000,100000,120000,,,2,
80000,100000,60000,,,3,
,110000,110000,,,2,
,60000,120000,,,1,
,50000,80000,,,2,
,80000,,,,1,
,90000,,,,1,
