Junior,Middle,Senior,Team Lead,Офис,Удалённо,Гибрид
40000,120000,180000,230000,2,2,
50000,75000,200000,140000,1,3,
50000,100000,170000,150000,,4,
40000,200000,80000,150000,1,3,
30000,120000,180000,200000,1,3,
40000,50000,130000,80000,,4,
60000,150000,60000,150000,2,2,
40000,90000,150000,105000,,4,
55000,200000,120000,90000,2,2,
85000,90000,160000,185000,2,2,
30000,150000,150000,90000,1,3,
35000,100000,75000,135000,1,3,
55000,140000,100000,130000,1,3,
50000,75000,110000,75000,,4,
50000,120000,150000,60000,2,2,
60000,100000,60000,180000,1,3,
60000,70000,125000,60000,2,2,
20000,60000,140000,200000,1,3,
70000,60000,140000,220000,2,2,
60000,60000,80000,150000,2,2,
60000,70000,150000,150000,1,3,
20000,90000,100000,100000,1,3,
50000,120000,50000,200000,,4,
30000,80000,50000,250000,2,2,
30000,70000,120000,70000,2,2,
80000,150000,60000,120000,1,3,
30000,70000,145000,120000,2,2,
30000,120000,70000,300000,3,1,
50000,60000,70000,150000,1,3,
40000,75000,90000,200000,2,2,
30000,55000,100000,120000,,4,
70000,80000,150000,120000,4,,
30000,160000,40000,120000,,4,
80000,80000,60000,100000,,4,
35000,100000,100000,150000,1,3,
50000,80000,350000,120000,2,2,
30000,80000,150000,300000,2,2,
25000,45000,130000,70000,1,3,
20000,70000,120000,180000,3,1,
30000,65000,60000,90000,1,3,
60000,100000,100000,100000,3,1,
60000,60000,55000,110000,1,3,
70000,110000,90000,150000,2,2,
70000,85000,150000,80000,1,3,
40000,90000,120000,60000,,4,
35000,100000,110000,140000,3,1,
60000,70000,130000,270000,1,3,
50000,50000,60000,150000,,4,
45000,60000,80000,70000,4,,
30000,120000,100000,200000,1,3,
60000,90000,80000,70000,1,3,
80000,250000,100000,150000,2,2,
60000,90000,150000,70000,,4,
60000,30000,90000,100000,1,3,
60000,130000,120000,55000,1,3,
65000,70000,70000,170000,2,2,
55000,70000,110000,600000,2,2,
65000,70000,200000,75000,2,2,
30000,70000,120000,150000,2,2,
30000,100000,120000,140000,1,3,
40000,90000,40000,100000,3,1,
50000,50000,60000,70000,,4,
100000,75000,60000,200000,1,3,
80000,60000,120000,200000,1,3,
60000,130000,100000,100000,2,2,
40000,70000,120000,120000,2,2,
80000,150000,150000,150000,2,2,
30000,85000,100000,200000,2,2,
40000,115000,110000,250000,1,3,
70000,50000,70000,90000,2,2,
50000,80000,200000,130000,3,1,
60000,70000,40000,120000,3,1,
40000,100000,40000,130000,1,3,
60000,80000,50000,160000,,4,
60000,90000,120000,140000,4,,
35000,90000,120000,160000,1,3,
30000,70000,180000,200000,,4,
50000,270000,200000,200000,2,2,
60000,70000,150000,80000,2,2,
60000,60000,80000,200000,1,2,1
50000,80000,90000,150000,1,3,
40000,100000,80000,150000,,4,
70000,200000,130000,300000,1,3,
100000,85000,70000,200000,,4,
70000,90000,100000,50000,,4,
75000,100000,80000,80000,,4,
75000,80000,90000,150000,2,2,
80000,100000,50000,250000,2,2,
35000,120000,100000,150000,2,2,
55000,85000,90000,80000,2,2,
50000,60000,150000,120000,3,1,
60000,170000,85000,200000,2,2,
100000,100000,120000,80000,4,,
40000,70000,200000,130000,2,2,
85000,60000,150000,175000,2,2,
50000,100000,150000,300000,3,1,
70000,90000,70000,120000,2,2,
90000,90000,100000,200000,3,1,
30000,55000,120000,300000,1,3,
80000,100000,100000,170000,2,2,
