Зарплата,ДМС,Обучение,Фитнес,Ссылка,Работодатель
90000,,,,https://t.me/relocaty_jobs/26238/27917,Mad Devs
60000,,,,https://t.me/devkz_jobs/5191,TREDO
50000,,,,https://t.me/devkz_jobs/4829,NTS Design
120000,,1,,https://t.me/devkz_jobs/4688,Sergek Development
60000,,,,https://t.me/workitkz/4308,Ioka
60000,,,,https://t.me/workitkz/4280,"TOO """"RM & Company"""""
80000,,,,https://t.me/workitkz/3609,Khan Group
100000,,,,https://t.me/workitkz/2890,Smart Lab
90000,,,,https://t.me/jobkz_1/18124,Беккер и К
60000,,1,,https://t.me/jobkz_1/18106,Логистическая компания
90000,,,,https://t.me/jobkz_1/17999,Производственная компания
80000,,,,https://t.me/jobkz_1/17980,Smart Schoo
80000,1,,,https://t.me/rabotavarmenii/3305,High Load Technologies
63000,,,,https://t.me/rabotavarmenii/3207,ushelpres.com
90000,,,,https://t.me/rabotavarmenii/4215,Fuse& HVAC service Electrician
70000,,,,https://t.me/rabotavarmenii/3780,WILDBERRIES
100000,,,,https://t.me/rabotavarmenii/3665,IT-Компот
100000,,,,https://t.me/rabotavarmenii/3907,X-partners
330000,,1,,https://t.me/cvjobge/42734,ALEX GROUP COMPANY
80000,,,,https://t.me/cvjobge/41969,Амбер
360000,,,,https://t.me/cvjobge/40298,I-gaming стартап
70000,,,,https://t.me/cvjobge/32389,NewBody
230000,,1,,https://t.me/cvjobge/42300,Doumo
500000,,,,https://t.me/cyprusithr/46679/63291,gambling
90000,,,,https://t.me/georgiaitjobs/1/6442,Atsearch Group
50000,,,,https://t.me/georgiaitjobs/1/6345,Andersen
145000,,,,https://t.me/hiring_relocatin_hr_it/20585,Cloud Retail
360000,,,,https://t.me/hiring_relocatin_hr_it/20330,Kidskey
90000,,1,,https://t.me/hiring_relocatin_hr_it/20702,ALEX GROUP COMPANY
140000,,1,,https://t.me/hiring_relocatin_hr_it/19067,1ex Trading Board
360000,,,,https://t.me/hiring_relocatin_hr_it/12199,NDA
60000,,,,https://t.me/click_jobs/406,Yosh Tadbirkor University
70000,,,,https://t.me/ITjobs_Uzbekistan/901,OSON LLC
70000,,,,https://t.me/drujbajob/960,американская логистическая компания
200000,,,,https://t.me/cyprusithr/46679/60632,Play.Partners
250000,,,,https://t.me/cyprusithr/46679/52702,NDA
200000,,,,https://t.me/cyprusithr/46679/65202,GoldenApple Ltd
250000,,1,,https://t.me/cyprusithr/46679/53792,MIXR Labs
270000,,,,https://t.me/cyprusithr/46685/56355,Adapty
270000,1,,,https://t.me/serbia_jobs/17938,US startup
180000,,,,https://t.me/serbia_jobs/16884,Outside Digital
40000,,,,https://t.me/chernogoria_rabota/59021,HipTech
